cell_type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
CD8 T	-4.885240	3.817815	0.433004	0.639299	4.264756	-0.241538	-0.501121	0.610152	0.661831	0.746983	2.285489	2.440248	0.982419	1.998074	1.327308	1.269425	1.386562	-1.186867	-0.642618	0.448344	-0.253367	1.789824	-0.750523	3.314811	-1.239509	-2.009202	0.600678	-1.543042	-4.507776	-0.101667	-0.697691	0.053811	2.427804	-0.149111	0.651719	1.333809	0.812314	-0.406402	0.419842	-1.936420	1.853495	-0.838936	0.766413	0.696024	-0.174339	1.529210	-0.950529	0.240341	-0.253390	-1.249142
B cells	11.816420	0.817933	0.842823	-0.936171	1.694963	-4.504401	-1.024214	-2.136433	-1.538427	-2.367850	-0.274284	-0.311320	-2.802064	-1.773281	-1.376191	-1.630721	2.180068	0.790456	-0.718151	-0.403109	2.428825	4.268792	-0.950958	0.758991	-2.890023	-0.629347	2.374847	-0.238621	2.746979	-1.448998	3.864746	-0.363687	-1.469556	-5.161204	-1.080512	0.236657	2.249264	-1.550193	1.833517	-0.782588	1.383244	0.792518	-0.244712	0.989219	-2.069028	-1.325630	-0.094911	-1.146572	-1.911519	0.036124
CD4 T	-1.579319	-0.723243	-0.298030	-2.647008	-2.037732	0.984653	-1.984064	0.027959	0.438027	0.239194	-1.208458	0.401827	1.349626	-1.784024	0.883331	0.791340	-0.855375	1.353765	2.475113	-0.721828	0.396751	-2.896536	-0.393896	1.663979	0.007745	2.736727	-0.868503	1.474333	-0.154099	1.122820	-1.079393	-0.098090	-1.060649	-2.015202	0.393783	-2.684047	1.303700	-0.313103	1.301817	-1.970196	2.734597	-0.162053	3.239168	-0.879276	-0.100094	-0.924386	1.752873	-1.019666	-2.426961	-1.780908
CD4 T	-3.969392	-2.903275	0.393331	-2.447713	0.536348	-0.158813	-0.134540	1.741065	0.095990	-2.033103	-0.058832	-0.629365	0.692687	1.209421	0.213567	1.632485	-0.907897	-1.049973	-1.177598	-1.033976	-1.303534	1.503512	-1.548922	0.018912	0.974829	-0.637476	-2.452900	-0.659800	0.252407	1.291746	0.126363	-0.433627	-0.424264	-0.791538	1.077432	-0.301017	0.919763	0.486009	-1.897596	1.797801	-0.608268	-2.019362	-0.875418	0.239158	-0.958773	-2.013073	0.297707	-0.102949	-1.227781	0.059291
B cells	12.018990	-0.116064	0.417713	1.245004	0.348062	1.690535	0.814257	1.397454	1.960017	2.468039	0.339318	2.175071	0.313113	-2.515062	-1.330892	1.602173	-1.014113	0.014703	-1.381864	0.269084	0.088570	1.047407	-1.219036	-1.529316	-0.289680	0.492547	-0.450111	-0.845170	-0.888622	-2.271089	-1.614678	0.257224	0.125667	0.733874	-4.442481	-2.132602	-0.549252	1.243478	0.376430	-1.207688	-2.980645	1.445434	1.918607	0.321552	-1.043848	-0.266735	1.062050	0.618906	-0.714525	1.144907
CD4 T	-3.259096	-1.242636	0.412769	-2.095888	-1.950822	-1.349284	-1.951898	-0.165360	-0.821260	1.299055	1.776338	1.742872	-0.497926	-2.898872	-2.262689	0.081522	0.823869	-2.810461	-2.170202	-0.324847	-1.315123	0.383601	-0.285172	2.346931	-1.010082	1.105597	1.965117	0.728967	0.988195	0.952542	1.954410	-0.910974	-1.612524	-0.667042	-3.413920	-0.508159	-0.687548	-1.567309	-0.188118	-0.105613	0.269843	1.238480	1.429906	0.150655	-1.011350	0.278001	-4.516273	-0.636038	-1.349892	-0.055630
CD4 T	-4.079689	1.564660	-0.459068	-2.242604	-2.789414	-1.305343	0.650383	-0.621374	2.170327	1.286700	0.315439	2.661952	-0.773902	-1.072534	2.334486	0.813926	-0.180921	0.224326	0.527971	-0.155614	-1.000726	0.377330	0.610127	0.614387	0.723965	1.302412	-0.504252	0.526610	-2.793765	2.457926	-0.542443	-0.634135	-2.038931	0.849985	-1.286042	1.349063	-0.134948	0.855592	-0.975069	1.253902	-0.832124	0.763678	-2.721676	2.950389	-0.376121	0.048737	0.675688	1.315143	-0.373681	-3.182419
B cells	11.947215	2.506644	-0.402761	1.345808	-3.813987	5.062337	1.855280	0.298037	0.273471	-1.733166	1.127637	-0.829990	2.545488	-0.096042	-1.232313	-1.572680	1.466005	-0.657646	-0.596369	-0.636607	2.085778	-0.755722	-1.030451	0.030481	-2.220669	-1.828379	1.502617	2.096365	1.065953	-0.687326	-2.738861	-2.402251	-0.192386	2.138290	-0.770691	-0.509475	-1.000203	-0.632856	-0.877617	0.811382	-1.183917	1.464157	0.734564	-1.485774	-0.487249	1.909736	-0.064856	0.049284	-0.758678	-1.650615
CD4 T	-3.689030	0.361372	0.079696	-1.680039	-1.251559	-0.778170	0.754654	-1.658489	-0.273506	1.464890	-0.246792	-1.797925	-1.725773	1.385276	-1.893183	0.714494	0.795581	1.694984	0.120216	2.329300	0.620902	-0.496795	1.042108	0.464627	0.510419	-2.591736	-0.476301	-2.383138	0.880200	1.101379	-1.174553	1.099160	1.625089	-2.314180	1.182797	-0.420636	-1.443827	-1.413246	-1.444188	-0.422967	-0.931736	1.201299	0.188617	1.709053	-1.137097	-1.283656	0.035196	-1.262536	-2.651268	0.273640
CD4 T	-2.562117	0.259471	-0.122158	-1.297216	-1.800532	-0.881369	0.681856	0.406233	0.251151	0.030471	-0.071709	-0.455463	-2.197317	1.015167	4.762724	-0.409350	0.027926	-0.732200	-2.733601	-1.077144	-1.163967	-0.738552	2.135221	0.266193	0.413020	-1.276525	-2.954732	0.450317	-2.457198	-3.175975	3.168841	-1.448297	-1.351521	1.972814	1.532284	1.917810	0.540300	-1.889472	1.734033	0.106455	0.056753	3.685344	1.462317	-1.781626	-2.018294	1.480443	0.852008	1.578785	0.027047	0.390502
B cells	12.431158	0.449269	-1.734308	-0.684724	1.680525	-1.246999	-0.892211	-0.459048	0.351173	-0.096205	-0.926305	-0.248915	0.795015	-0.529597	1.176936	1.045959	2.463871	-0.641019	-0.738579	1.619604	0.694528	2.173440	1.386382	-0.790725	-2.767488	-1.428025	0.328234	1.664490	0.244869	-0.439356	0.945096	0.592492	-0.642857	0.512536	-0.935926	-0.549041	0.163059	-3.189590	-0.586194	1.438330	2.062647	-1.633284	1.651243	-1.649095	0.775131	0.196171	1.576782	-0.239137	0.441963	0.246896
CD14 Monocytes	-2.295522	-6.841323	-1.198780	6.106706	2.030796	1.569808	-0.166551	1.038575	-1.458051	-0.125921	0.815140	0.182013	-0.497822	-1.957823	1.113371	2.342611	0.301717	1.803580	-1.949741	-0.041611	-0.573950	-1.640280	0.374821	-1.019771	-0.156677	-1.027646	-1.378917	-0.314011	-0.289759	-0.464795	-0.206983	2.851193	0.958370	-1.963520	-0.237500	-1.152205	0.688809	-0.455133	0.661896	-2.445646	-1.618714	-0.890348	1.523359	0.500782	1.854279	-2.425326	0.201005	-1.191759	1.505697	-2.049122
CD4 T	-3.096449	-1.176621	0.115081	-1.398223	-0.996658	0.064539	-0.967918	-0.393379	0.578659	-0.524803	-0.199031	-0.011993	-1.769493	-0.730097	1.552553	2.484815	-0.968369	0.489678	-0.518078	-2.083377	-0.427658	-1.559995	-0.552076	-0.489357	-0.155002	2.811678	0.235583	-0.546677	-0.336511	-1.156015	1.884667	0.949212	-1.015476	-0.328525	1.459125	1.820416	-1.513294	-0.971403	0.679514	-0.810078	-0.142188	0.953351	1.162742	-1.892984	0.456559	-2.085673	1.170415	-1.410144	0.095868	-1.145742
CD14 Monocytes	-0.771471	-5.873648	-1.452420	7.060524	-2.518630	-0.545508	-0.525049	-0.021851	-2.795100	4.382208	-3.775761	-0.403338	0.739775	1.117873	0.382002	2.914408	-0.020591	2.180557	-0.943126	-1.192492	-1.273334	2.262635	1.694942	0.011997	-1.031258	-0.537680	2.143936	-0.958116	1.759340	-0.628243	0.499198	0.416957	0.277682	-0.347697	1.969436	3.733700	0.468276	0.890128	-4.852779	1.922199	0.429873	0.975888	-0.377463	-1.800077	-0.749472	-0.145851	-0.651251	-0.173147	-1.530185	3.832111
CD4 T	-3.647506	2.657466	0.108190	-1.775936	-5.633373	-2.713740	-1.922002	-1.545410	-0.870767	-2.027824	-1.231395	2.166607	-3.574023	-0.001969	-1.107784	-3.622835	1.459314	-0.287888	-1.262238	-1.244429	0.099010	-2.331709	1.646335	-0.060490	-2.377946	-0.249465	-2.790005	4.109913	0.641151	-2.875946	3.361621	1.834814	0.105542	0.463440	2.546134	-0.814106	4.081496	-2.793686	3.277228	-2.381480	-0.294725	0.646131	3.081800	-3.123865	3.983484	0.509913	-2.120955	0.613066	0.618472	0.171999
CD4 T	-3.885396	-0.513789	1.718019	-1.284449	-2.244587	-2.072030	-2.462111	-2.079011	-2.096630	1.654259	1.913473	-4.004063	0.803491	-2.060823	0.384930	3.328237	2.180593	4.740735	-1.706958	-0.721598	0.272442	0.012087	1.743084	-0.601203	0.706574	1.518529	2.229363	-1.721920	0.863412	-3.097400	-2.007035	2.211733	2.426668	1.451866	0.118147	-4.660066	-2.202546	-1.665384	1.633100	-0.550199	-0.458537	2.408861	0.061536	1.476157	-1.696092	2.160562	-0.264690	-1.771701	-2.708030	-3.192555
CD8 T	-4.118252	7.861992	0.886338	2.397306	1.976087	0.935525	3.728415	2.537784	-2.084883	-1.033451	0.323863	1.743676	-2.498100	-0.402409	-1.553646	2.133910	0.025908	-2.310644	-0.059735	-0.949728	-0.870811	0.873054	-3.059776	0.010713	0.401233	2.947067	-0.314408	-0.658451	2.506448	-3.660707	-1.094934	-0.762455	2.198846	-0.980907	2.923934	-0.533906	2.256455	1.568633	-5.353264	-0.917189	-3.933714	-0.953372	0.826557	-0.873835	0.379866	2.759037	-2.057672	1.960500	-2.877229	-0.128398
CD4 T	-3.247334	-1.337355	0.078498	-1.850990	-0.773689	0.113575	-0.453224	-0.716965	1.207511	0.659956	0.496363	-0.386689	2.674056	0.415763	-1.114268	-0.256086	0.285618	1.918913	1.232642	-0.061522	1.354204	1.531971	-0.122978	-0.336174	1.180118	1.032157	-0.923539	-1.349598	-0.380890	-0.341994	0.628620	-0.689743	0.107284	-0.461626	0.940734	0.387281	-1.079364	-2.803023	-0.470029	-1.758184	1.167156	0.112963	1.523921	-0.459995	-0.170590	0.565739	-0.316912	-0.479475	-1.056145	0.710935
B cells	13.903976	0.627086	-0.418950	-0.955239	0.967934	-2.373682	-0.281005	-3.808666	-0.976466	-0.786354	2.373459	0.976196	0.376577	0.697104	-1.705679	-0.321992	2.010092	0.155848	1.552348	-1.076491	1.001335	0.506548	-2.815638	-1.898252	0.610294	-0.768937	-2.030231	3.701609	-1.439377	-0.525376	-0.920944	-2.379800	-3.599839	0.019901	-1.194663	-1.855476	1.297003	-2.044821	-2.564347	-0.019157	-1.393931	-1.363902	-0.086834	-0.714392	0.862705	-1.645679	-0.204300	0.584474	0.882340	-3.254543
CD8 T	-3.797687	13.961375	-0.565913	6.617101	3.691370	-0.934663	-7.241474	-3.940608	1.704156	3.155573	0.016093	2.417522	-0.273405	-0.537612	1.853635	8.451039	4.884335	-4.355393	-0.306775	-1.267579	2.689055	4.231448	1.835262	-2.707418	-4.927590	-1.784288	-2.688205	3.329491	-1.793175	-1.051307	-0.969025	-1.725007	-1.764888	-1.506034	-6.322911	0.892351	-1.805974	1.405392	8.770354	4.568105	-1.084051	3.843374	-1.678234	3.602690	3.123116	-1.793428	7.033999	1.435122	1.038980	-2.116333
B cells	9.640956	3.314728	0.596383	1.841186	-4.807199	6.077018	0.163081	1.388196	-0.767867	-0.401296	-0.097464	-0.050942	-1.771281	-0.073292	-0.072557	0.063656	-0.481510	-0.112873	1.993221	-1.073481	-1.479658	-0.383195	2.634356	-2.062562	-0.159791	-1.330420	2.705940	-1.339369	-0.494760	-0.051249	-1.814261	0.767232	1.025852	0.758766	1.320922	4.094842	1.400058	-0.485597	0.065388	-0.331223	-2.386139	0.945745	-0.137416	1.125042	-3.113887	0.944092	-1.076795	-1.134463	-1.176344	2.722482
CD4 T	-3.000766	-1.826437	-0.761400	-2.455360	-2.178895	2.918510	-1.365326	-0.276087	-2.221071	2.728390	-1.723750	0.066805	2.040653	2.107009	3.130537	2.617384	-1.624223	-1.345458	3.493364	-0.537447	-1.449175	1.232003	1.832785	-0.550574	0.987253	2.061114	-4.644028	2.172213	0.707785	1.364485	1.077138	1.952368	-2.034990	-0.773138	1.458805	-0.003089	-0.288644	-1.061736	-1.993219	0.532309	-2.501854	0.617283	-0.788917	-3.345288	1.515887	1.002647	-0.140956	-0.695848	3.331655	1.209559
B cells	8.511788	-1.860549	1.099380	-3.153670	7.013824	-0.364327	-0.493107	-4.446839	-2.822783	1.635383	0.298448	2.155232	-0.943551	1.741656	0.602833	1.177194	-0.137379	-1.852042	-3.758988	0.815189	-1.943015	-1.012017	-0.105589	0.392171	0.945042	0.911394	-0.890550	-1.233058	-2.727524	0.818135	1.386907	1.270727	4.034125	-1.106923	-0.360465	0.962086	-0.158295	2.205496	1.075616	-0.290415	-1.532912	1.420293	-2.239670	-1.834724	0.491501	-1.089788	0.710111	0.086567	-0.302916	1.012182
CD14 Monocytes	-4.027726	-7.906815	-1.594077	7.517970	-0.129947	-0.672520	-0.397039	-0.468074	-0.780328	1.035086	0.409776	-2.135820	0.107209	1.208823	-0.035427	-1.659553	3.057073	1.970221	0.790960	-1.319465	-1.323232	-2.318437	2.890600	0.721791	-1.553933	0.406894	2.490773	3.775047	1.314275	4.793403	-3.127884	1.435455	2.200893	-0.071073	-1.269315	1.491595	1.895542	-2.156698	-0.743650	1.532821	0.614900	-0.355940	0.355963	0.969053	-0.740894	-1.184345	1.770969	1.985312	-1.621190	0.558569
B cells	9.187445	-1.236355	0.669468	-2.068977	4.382468	-0.227950	0.010214	0.263598	0.653655	-1.847099	1.975493	-1.294792	1.609135	2.932965	-1.422610	-2.845113	0.968867	-0.587784	1.205621	-0.678918	-1.627179	2.367949	-1.205712	-1.297284	2.481097	-1.304455	2.340837	-2.195560	0.988065	0.431395	0.165017	-0.019331	-1.000070	0.896135	-0.458262	-2.656408	-0.548882	0.084000	-0.584848	-0.397325	-3.684108	-2.679327	-2.758126	1.779063	1.617275	-1.623003	-0.550902	0.744758	0.030634	-0.308570
CD4 T	-3.826791	-1.480829	0.264567	-3.239454	0.018257	0.302056	-0.063032	0.063603	1.499164	-1.435622	0.182485	1.904424	-0.728907	-0.719543	-0.273357	-0.226820	-1.095273	-0.615997	0.193177	-0.052250	-1.320111	-1.662498	0.246088	-0.269495	-0.200946	1.742205	1.621849	0.561927	0.379318	-1.164733	-0.754875	0.600614	0.578963	0.116829	1.291595	1.394545	0.924932	-0.350809	-0.827967	-2.216807	0.324725	-0.313380	0.256984	1.218966	-0.704230	-1.031977	0.067461	-1.805034	0.532299	-1.000961
CD4 T	-3.075021	-0.028351	0.460773	-2.756889	-2.492981	0.313666	1.663794	1.261473	-2.730538	-1.198582	-0.781315	-0.011705	-1.017631	-0.336717	-2.848206	-0.855020	0.352029	0.762127	-1.428300	0.629728	0.807822	0.722358	0.414652	0.039590	1.288199	1.065277	-1.209887	-0.283862	-0.583711	-1.081798	1.812801	-2.089409	-1.450477	-2.494381	-1.724852	1.029833	-0.008413	0.134557	-3.903567	0.452510	-0.859666	-0.478453	-0.990388	-1.715843	3.556361	-0.155996	0.947260	-0.032376	1.760641	-1.817782
CD8 T	-4.942952	1.428896	1.856879	-0.604574	2.676631	-1.286020	3.251027	-1.357947	2.071860	0.931826	0.102795	-0.515463	0.065800	-0.132619	-0.869419	0.669698	-0.598710	-1.430350	-1.550491	-0.607304	1.709612	1.354041	-0.014910	1.560680	-0.311827	-0.444982	0.498578	-1.975425	2.678741	1.031969	-1.830745	0.554119	-2.154482	1.906465	1.078390	-1.908584	1.374579	-0.337409	2.229820	-2.407503	0.924099	1.499050	-0.335409	-0.426782	0.203379	-0.270939	0.257897	1.204632	0.930039	0.967383
CD4 T	-3.755872	-1.493014	0.312816	-3.692132	2.965578	1.139796	3.093682	1.016499	-0.223486	1.733671	-0.489176	-0.360649	3.284627	0.809775	-0.025864	-0.905279	0.725848	2.354556	-0.263808	-1.678167	1.888590	0.750591	0.582236	1.084272	-0.100178	1.046851	0.752518	-1.508419	2.631048	-1.984392	-0.359324	0.275529	-1.176578	2.347451	-1.972093	-0.076027	-2.750324	1.786909	3.783742	-0.965838	0.779279	-0.732811	-3.198849	-1.273222	0.958934	-1.495778	2.841538	0.307544	-2.314679	-1.126638
CD4 T	-3.133295	0.447223	-0.428908	-2.022009	-3.603455	-0.805935	1.163237	-2.532588	2.098153	-1.510040	0.799138	0.051880	0.661279	-1.203514	-0.445355	-0.848367	-0.314015	1.431511	-2.522549	-0.546396	-0.288950	-2.635857	1.871303	-0.424627	2.994043	-2.814762	-0.837257	-1.792365	1.254673	3.610855	-0.196286	-0.431033	0.158146	3.160692	3.419942	1.591076	-1.570833	0.235257	1.421430	-0.444316	0.408872	0.623358	-1.500631	-0.029799	-1.671445	0.507980	0.685887	2.076260	0.108328	0.220954
CD8 T	-3.549645	11.321871	0.430984	4.407567	5.785229	-0.986556	0.938655	-1.995732	2.391480	2.430030	-1.246601	-0.574982	3.487477	4.880855	0.192997	-0.322716	3.972287	2.551096	1.057128	0.248981	0.124101	2.678129	-3.100775	2.194633	-0.397821	-4.949831	-1.521174	2.826923	-7.179090	1.633955	0.463715	-2.355566	-0.052261	-0.406186	3.928114	-1.611657	-2.800721	-5.994208	-0.044187	-1.622190	-1.514406	-2.418244	4.802526	-0.638163	2.782773	0.652626	5.064262	-1.453502	-1.322544	0.520429
CD8 T	-2.164570	10.033635	1.071339	4.380004	-0.353927	-1.294710	5.081482	2.060487	-5.197990	-3.617936	-0.941924	0.214835	-0.735859	1.665822	-0.443209	1.001135	-0.150186	1.882950	0.454673	5.264200	-3.585769	2.214197	3.610257	4.760480	0.996948	-1.904226	-0.557968	0.020887	-1.580145	-1.074215	0.574656	3.382261	0.460704	-1.871806	-1.479934	2.528374	-1.490590	-0.765467	-0.596526	-1.892743	3.650075	-1.396414	-0.470350	-0.195180	2.285016	-0.170373	-1.020477	-1.385123	2.094310	3.568956
CD4 T	-3.326053	-0.498179	1.185040	-1.992401	0.821467	-0.189023	-0.018227	-0.446135	-0.526267	1.112592	1.475098	-1.045486	0.702792	0.017713	-0.586150	0.648690	0.779528	-0.116372	0.216628	-1.788058	-1.882279	0.967836	0.125859	-0.253081	1.322940	-1.087535	-0.549237	-3.142432	0.329302	-2.116018	2.787170	-2.441083	-0.590081	0.168073	-1.359580	-0.077045	-1.144378	0.947557	-0.869231	0.427819	-0.038187	-1.013503	1.522464	1.349255	0.582411	1.499576	0.268343	-1.417948	1.702330	1.655568
CD8 T	-3.377528	3.687722	-0.521826	1.073589	2.491587	1.687285	2.946967	2.788763	-2.273538	-0.814123	0.291666	1.826102	0.432715	-0.347518	0.948241	0.925320	0.827610	-0.972485	-3.069482	-1.108362	-1.878497	2.064483	0.581901	-3.691945	-3.808129	2.172758	0.048667	0.626717	1.459046	0.616847	0.207346	-1.201344	-0.375406	-1.491181	3.069107	0.169734	-0.529756	0.009154	1.641613	2.068885	1.044068	-1.468795	0.147616	0.673668	-1.287816	1.724995	-0.406805	2.957014	-3.241189	-0.879042
CD8 T	-4.336628	4.339189	-0.129024	1.319205	2.899007	1.510405	1.331194	2.179515	-0.697949	0.500220	-1.058308	4.381177	2.420889	-1.145592	-0.912352	1.618644	0.307476	0.673106	-1.379864	2.643573	2.402618	-2.703994	-2.591733	-0.716476	-0.977309	1.134199	-3.330081	0.270013	-4.550536	1.202855	2.668349	1.072881	0.849872	3.607288	-2.257736	2.085371	1.600441	-0.722622	-2.079348	0.619709	1.227768	1.077700	-1.243534	-1.739533	-2.173007	0.764982	-1.921121	1.059570	-3.200759	-2.994033
B cells	8.390038	0.149133	-1.471147	-0.525157	-2.105345	7.162024	0.912042	0.853539	-0.583369	2.897008	-0.028267	-1.992097	2.897165	-1.230755	-0.744050	0.517000	-1.682448	1.391416	1.281059	-1.482849	-0.605217	-3.531868	1.003810	1.865100	0.894116	-0.801740	-0.093912	1.293764	0.495019	1.907128	0.136907	-0.121265	-0.363202	-1.123461	0.789506	0.293693	-0.061190	2.650137	-2.845012	1.551347	-1.608888	0.600150	-0.242179	-1.737865	-0.172352	0.637198	-2.943802	1.629322	1.201227	0.620428
B cells	11.636930	-1.173297	0.809300	-0.842601	3.159963	-1.646304	1.238552	0.233963	0.106324	-1.491464	-0.651165	-0.952877	0.685388	-1.034840	1.452326	2.141407	-1.179642	0.499889	-1.354194	1.198702	-0.075033	1.472847	0.543151	1.085625	0.328220	0.105294	1.319213	1.028272	-0.543978	-0.033882	-0.616043	-1.508387	-2.419171	-0.257773	-0.973719	2.842225	0.418288	-0.872356	-0.480581	-1.851833	-0.058259	1.231094	-1.075822	2.155197	1.449375	-1.266660	-1.392550	-0.979213	-1.917929	2.142730
CD4 T	-3.130805	-0.941747	-0.037845	-2.433051	-2.377801	0.410062	-0.157089	0.646722	-1.530373	-0.907830	0.143536	1.463603	-0.844845	0.689011	-1.762828	-1.567219	-2.396523	0.441440	0.703549	-1.637938	-1.915345	-0.234027	3.929136	3.190132	0.335575	1.800240	2.820796	1.445989	1.146608	3.443751	-0.475341	-2.656315	2.338380	-0.814045	-2.009032	0.723666	2.833160	-0.229779	0.038336	-0.666138	1.010648	1.518978	-0.490706	0.506585	2.139771	0.475422	1.282307	1.014879	-2.883976	1.402674
CD4 T	-2.703511	0.248633	0.702107	-3.721177	0.081064	0.310559	1.017304	0.502763	-0.386288	0.061173	-0.686159	0.462970	1.900942	-0.682596	-1.105703	-2.115903	-2.054630	0.339420	1.168852	-0.506805	1.472526	0.943891	0.763839	-2.484355	1.202080	-0.106664	2.076809	0.604768	-0.587581	-1.461116	-1.485373	-0.099844	-0.502936	0.914963	1.892373	3.094198	2.094902	-0.399007	-0.412050	0.677756	-2.876927	1.795026	1.060696	0.970905	1.292229	3.519481	-1.226136	-0.815965	1.171325	0.210176
CD4 T	-1.674945	2.338902	-0.183443	0.052845	-7.177825	-1.649705	2.175439	-0.968199	-0.274879	1.700531	-1.242014	4.858134	0.303296	0.012912	-1.316517	0.022260	0.461028	-1.073140	3.736735	-2.653027	2.221194	0.450524	5.113927	-1.468126	-0.625857	-0.310002	-0.029336	-1.087556	-4.429993	-4.724565	3.348760	0.118470	2.743855	-1.184012	-1.089501	0.852318	-2.510723	2.028828	-4.499678	-0.612600	1.122486	-1.732102	0.329380	-2.012013	0.555456	-1.287288	0.114126	0.639769	2.017512	-0.224596
CD14 Monocytes	-3.928484	-7.528610	-0.944834	4.237929	2.248096	-0.209229	-0.504283	1.059369	0.901585	-0.655559	2.514336	1.883477	-2.077515	0.776280	-3.309494	-0.057978	-1.116069	-0.225789	-0.785261	-2.136261	0.737931	1.491257	0.297313	-0.300261	2.255406	2.627927	-0.616472	-0.239998	0.191557	0.515934	1.189508	-0.759524	1.095381	0.040115	1.983656	-1.496579	-0.270426	0.220786	0.448430	-1.441580	0.074406	-1.490663	-0.769169	1.802334	-0.216441	-0.676682	-0.400011	1.755914	0.910357	-1.882014
CD8 T	-4.339635	4.010196	0.247755	-1.206545	-1.991370	-1.524440	4.843713	-2.437149	2.721855	-0.931956	0.471504	-2.101863	-0.764101	0.917739	-5.460755	1.736832	-1.080950	3.817664	-3.302871	-0.072851	-1.242009	-0.876876	0.741384	0.801814	-0.056105	0.176148	-0.476236	0.316269	1.800488	-0.664454	-0.020077	0.164407	1.311848	-0.376843	-0.242389	1.895003	2.141133	3.075826	-0.005971	2.175742	0.537410	-1.914467	0.174500	1.543915	0.121472	-0.432580	0.411025	0.312229	1.739537	-1.611601
CD4 T	-4.233457	-0.643676	0.282203	-2.427605	1.589547	0.792562	-0.075577	1.981094	0.210705	0.892887	-0.435148	-1.660733	-0.075289	-2.142184	-0.074359	-0.378484	-1.593566	1.501740	0.261783	1.141346	0.219479	-0.521690	-1.646600	-2.852279	2.199597	-0.854288	2.426892	-0.024853	-0.638951	2.035965	0.246441	-0.359953	0.335091	1.045127	-0.457426	0.512969	1.161019	-0.677978	1.562173	-0.972700	0.722439	-0.239496	0.609481	-1.895886	1.085989	1.313416	-0.525275	0.633805	-1.816515	-1.019489
CD4 T	-3.864717	2.800600	1.026896	-0.997456	0.493297	-0.096096	-0.304292	-3.715916	5.085836	-0.023834	1.722533	-1.753933	-3.379312	0.172153	2.273419	5.056335	0.099210	-0.010854	-2.156323	0.403389	1.968385	-0.106423	0.089715	-1.850325	-1.365736	-1.878903	4.272861	0.050359	-4.021125	3.107301	-1.300649	0.854842	-2.116603	1.832795	-1.041786	2.731827	-3.249757	-1.195691	-0.951611	0.321696	-0.617014	0.163216	0.706011	-1.498027	0.638515	5.097326	-0.646406	2.390218	-1.640604	-0.526656
CD4 T	-4.060615	-0.830455	-0.292095	-2.002253	-0.616513	0.114585	0.591206	-1.586768	1.038319	0.944824	-2.928102	-1.672703	2.905548	-0.681704	-2.345634	-1.253061	0.020788	0.323895	0.112646	0.647926	-0.423680	0.187236	-0.958659	0.517826	0.286498	0.127099	-0.560538	-2.556184	-1.460819	-3.557890	-1.586069	-3.011721	-0.672811	-1.288988	-1.503402	3.548460	-3.284675	1.888795	0.269824	3.446611	1.042469	-1.048080	-0.450753	1.075279	-0.331636	-0.877690	-0.278602	4.538605	0.802357	-4.328584
B cells	6.287521	0.630974	0.397188	-1.638719	3.296117	-0.536625	-0.588131	0.110040	1.448692	-0.226420	-1.530283	1.148069	1.484546	1.383389	-0.126174	-2.235628	-1.205030	0.199794	-0.241777	0.207616	1.052175	-0.309113	1.371564	1.793227	0.361340	-1.170789	-2.067171	-2.367599	1.287533	0.591976	-1.836776	-1.029277	0.088331	0.690687	0.184055	1.439498	-0.695986	0.983441	0.107825	-1.246710	-2.288227	-2.188417	1.032796	-0.079014	2.204169	1.955272	1.730723	1.916362	-0.547569	0.502548
CD4 T	-3.964253	-1.964191	-0.629398	-3.122204	0.292973	0.221049	-2.451826	-0.361834	0.046097	-0.607941	-0.328901	-0.108541	-3.501812	-1.724236	1.536627	1.145857	-0.972098	-2.545126	-1.424732	-0.197560	0.026068	-2.045534	-1.347225	3.027283	-1.677173	1.639924	-1.792118	1.136674	0.131602	-1.913139	-0.796215	-0.422821	0.116893	-2.545027	2.737510	1.605070	1.183547	-1.497099	-0.594740	-2.649171	0.592714	-0.942410	0.919260	-2.426142	0.528199	-2.161159	1.506097	0.516937	-1.759600	-0.183040
CD8 T	-4.200762	12.622084	-0.765379	6.700148	3.753751	1.513981	-3.284172	-2.828313	-2.624147	2.587208	-3.748776	-2.107604	2.069838	-1.214997	-4.647807	2.183090	-0.193802	0.637168	6.046394	-3.822912	3.423418	1.022987	1.800777	-0.706226	-0.119216	2.153466	-0.727110	0.789576	4.199954	0.816242	-1.085851	5.750253	-0.650485	1.560905	-4.593361	-3.094284	0.058012	0.994407	1.781835	3.592349	-0.779324	-2.790437	0.108128	-1.219930	1.464317	3.571922	-2.675554	-1.500528	0.031642	3.308746
